bla,bits,naive_time,naive_se,ra_time,ra_se
"1",8,43.0909090909091,0.539359889970594,41.9090909090909,0.539359889970594
"2",9,53.5454545454545,0.522232967867094,51.6363636363636,0.504524979109513
"3",10,85.4545454545455,0.820199532264724,57.2727272727273,1.27207775634268
"4",11,89.9090909090909,0.539359889970594,60,0.632455532033676
"5",12,95.9090909090909,0.301511344577764,63.9090909090909,0.301511344577764
"6",13,99.7272727272727,0.904534033733291,65.5454545454545,0.687551650952329
"7",14,108.363636363636,0.504524979109513,71.6363636363636,1.02691063610494
"8",15,149.818181818182,0.404519917477945,107.272727272727,1.27207775634268
"9",16,222.090909090909,1.86839746598765,141,0.774596669241483
"10",17,315.636363636364,1.02691063610494,152.272727272727,0.646669790682863
"11",18,395.545454545455,4.15604707296817,158.090909090909,0.301511344577764
"12",19,399.272727272727,0.467099366496914,161.272727272727,0.467099366496914
"13",20,369.727272727273,0.904534033733291,165.181818181818,0.404519917477945
"14",21,472.181818181818,0.603022689155527,169.272727272727,0.467099366496914
"15",22,506.181818181818,0.404519917477945,173.181818181818,0.603022689155527
"16",23,459.545454545455,0.687551650952329,179.090909090909,0.301511344577764
"17",24,511.181818181818,2.92636914343293,185.636363636364,0.924416277737175
"18",25,532.454545454545,5.00726744569603,206.818181818182,19.5541207003444
"19",26,571.090909090909,5.28118444015252,218,11
"20",27,614.454545454545,6.59338511485013,256.818181818182,9.25006142485748
"21",28,636.454545454545,3.07777960106426,283.454545454545,9.6887939018604
"22",29,670.363636363636,6.46950890366073,318.090909090909,8.3600782945442
"23",30,716.727272727273,7.11464558626653,355.909090909091,2.54772625902178
"24",31,811.363636363636,16.2189563614477,433.636363636364,9.6257231133326
"25",32,937.545454545455,16.1701183444255,566.454545454545,6.93344988247029
"26",33,1171.81818181818,15.5551803706558,807.454545454545,15.0357150569146
"27",34,1540.72727272727,8.08815070446773,1215.28571428571,16.5701969985703
